plantId,slug,nomecien,imagemurl,cresc_forma,cresc_taxa,ph_max,ph_min,luz_solar,solo_nutrientes,solo_salinidade,solo_textura,solo_umidade,nome_pop
214,lolium-arundinaceum,Lolium arundinaceum,https://d2seqvvyy3b8p2.cloudfront.net/97b45feb7036cedd78aa2333f10c3071.jpg,null,null,-1,-1,-1,-1,-1,-1,-1,Estrela-dos-campos
215,myosotis-arvensis,Myosotis arvensis,https://bs.plantnet.org/image/o/0f3e9db90cc88e3424d32985fa2ccb7979b15ba0,null,null,6.5,5.5,6,6,0,-1,-1,Não-me-esqueças-dos-campos
216,castanea-sativa,Castanea sativa,https://bs.plantnet.org/image/o/08efe49fa072d50183fea2cec9b80612b48a1cdc,null,null,-1,-1,-1,-1,-1,-1,-1,Castanheiro
217,holcus-mollis,Holcus mollis,https://bs.plantnet.org/image/o/a73da8ed33b06707e255b3a4b59fc27b4015de87,null,null,5,4.5,5,3,0,-1,-1,Perna-de-pau
218,origanum-vulgare,Origanum vulgare,https://bs.plantnet.org/image/o/856c07cfa49f4665dbcc7434542d0f1e27cb17eb,null,null,7.5,7,6,4,0,-1,-1,Orégão
219,symphytum-officinale,Symphytum officinale,https://bs.plantnet.org/image/o/fbca8d55cf0e58bc61e99bf190dc679071f0ee4a,null,null,7.5,7,7,7,0,-1,-1,Confrei
220,lemna-minor,Lemna minor,https://bs.plantnet.org/image/o/900c5abdc662b4aa0bb8ca5a3a7861488327e02c,Single Crown,Rapid,8.8,4.1,7,5,1,-1,-1,Lentilha-de-água
221,digitalis-purpurea,Digitalis purpurea,https://bs.plantnet.org/image/o/5b87208f7ae140dad0f09facc46b511839273c0b,null,null,-1,-1,-1,-1,-1,-1,-1,Dedaleira
222,pilosella-officinarum,Pilosella officinarum,https://bs.plantnet.org/image/o/44e695a74c98dbaff809fe95fd4bdb3a3874aa12,null,null,-1,-1,-1,-1,-1,-1,-1,Não-me-esqueças-pequeno
223,juncus-bufonius,Juncus bufonius,https://bs.plantnet.org/image/o/60ebd1de21b3dfe853e57a17074ea1baba82c0b1,Bunch,Rapid,7.6,4.6,7,5,0,-1,-1,Junco
224,erodium-cicutarium,Erodium cicutarium,https://bs.plantnet.org/image/o/2bfdd76139914cb68159ea04db792cfcf4b01bf5,null,null,-1,-1,-1,-1,-1,-1,-1,Gerânio-pelargonium
225,valeriana-officinalis,Valeriana officinalis,https://bs.plantnet.org/image/o/ba1bf693db846396d7e034475488ee8c312fe934,null,null,7.5,7,7,6,0,-1,-1,Valeriana
226,papaver-rhoeas,Papaver rhoeas,https://bs.plantnet.org/image/o/401c147ff21437f2cc7a1629ca7afafdd07e1eeb,null,null,7.5,7,8,6,0,-1,-1,Papoila-dos-campos
227,viburnum-lantana,Viburnum lantana,https://bs.plantnet.org/image/o/7d45264dab00489f66411c56435a6189aa2e4133,Multiple Stem,Slow,7.5,5.5,7,4,0,-1,-1,Sabugueiro-branco
228,anthyllis-vulneraria,Anthyllis vulneraria,https://bs.plantnet.org/image/o/c34a0f8065912f22d9ea87584f8caefcf677c52c,null,null,7.5,7,8,2,0,-1,-1,Anthyllis
229,echium-vulgare,Echium vulgare,https://bs.plantnet.org/image/o/f5f5ca89c39fa26c8585ae6ae4fb4adf23973cc9,null,null,7,6.5,8,4,0,-1,-1,Víbora
230,comarum-palustre,Comarum palustre,https://bs.plantnet.org/image/o/c694e70ff1099d38aca09bf699427d4b5cf4ce92,null,null,-1,-1,-1,-1,-1,-1,-1,Rúbia-dos-pântanos
231,scrophularia-nodosa,Scrophularia nodosa,https://bs.plantnet.org/image/o/ab896abdd1d8d5fca0ca108d0ca42f7981828bed,null,null,7,6.5,5,6,0,-1,-1,Escrofulária
232,humulus-lupulus,Humulus lupulus,https://bs.plantnet.org/image/o/04bcc84188456eedc5a2bf703b0e7235d194837e,null,null,7.5,7,5,7,0,-1,-1,Lúpulo
233,mercurialis-perennis,Mercurialis perennis,https://bs.plantnet.org/image/o/4c9c715e727036b093add8dbd413e09615351c10,null,null,7,6.5,3,7,0,-1,-1,Mercurialis
234,convallaria-majalis,Convallaria majalis,https://bs.plantnet.org/image/o/14a65dc4d1be00ebb24d894c4d4151855d263930,Rhizomatous,Slow,7.5,5.5,4,4,0,-1,-1,Lírio-do-vale
235,robinia-pseudoacacia,Robinia pseudoacacia,https://bs.plantnet.org/image/o/5fbe3abeb5ae73f54b67cd4f85efff50a25b1f6c,Multiple Stem,Rapid,8.2,4.6,8,8,0,-1,-1,Amor-de-hortelão
236,persicaria-maculosa,Persicaria maculosa,https://bs.plantnet.org/image/o/2fbd50d1d3c58a5c19f220aff8f14acb0bf6f701,Single Crown,Rapid,8.5,4,7,8,0,-1,-1,Persicária
237,carex-sylvatica,Carex sylvatica,https://bs.plantnet.org/image/o/3a143ef02e3a864ddc0b5e074612867c5ed46307,null,null,-1,-1,-1,-1,-1,-1,-1,Carriça-dos-bosques
238,ononis-spinosa,Ononis spinosa,https://bs.plantnet.org/image/o/b5f8402c684055324c10db42e20383cfd2f0365f,null,null,-1,-1,-1,-1,-1,-1,-1,Ononis
239,neottia-ovata,Neottia ovata,https://bs.plantnet.org/image/o/349229f4de685dcf9286a9a789e676e91744a91b,null,null,7.5,7,3,7,0,-1,-1,Neottia
240,plantago-media,Plantago media,https://bs.plantnet.org/image/o/af0e8815d34b5fbacfcd6f8d7493309ae8de3a6a,null,null,7.5,7,7,3,0,-1,-1,Plantago
241,epipactis-helleborine,Epipactis helleborine,https://bs.plantnet.org/image/o/043f3cc5fefda5f93254aaa86ee69a705f75cbc9,null,null,6.5,5.5,3,5,0,-1,-1,Helleborina-comum
